Id,MSSubClass,MSZoning,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,ExterQual,ExterCond,Foundation,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageCars,GarageArea,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
10,0,3,690,1,3,3,0,4,0,19,2,2,0,2,4,4,66,15,3,1,6,6,3,4,1,458,0,63,300,1,0,1,4,265,0,0,125,1,0,1,0,3,1,3,3,6,0,1,91,2,0,0,0,0,0,0,0,1,2,8,4,129500
11,5,3,768,1,0,3,0,4,0,16,2,2,0,5,8,4,106,56,3,1,14,15,0,4,2,493,0,95,387,1,0,1,4,373,352,0,763,1,0,3,0,4,1,0,9,6,2,3,332,2,81,11,0,0,0,0,0,6,0,6,5,345000
12,0,3,852,1,1,3,0,4,0,19,2,2,0,2,4,5,63,12,3,1,6,10,3,4,1,376,0,93,209,1,4,1,4,171,0,0,69,1,0,1,0,2,1,3,2,6,0,1,76,2,74,0,0,0,35,0,0,8,2,8,4,144000
13,0,3,629,1,0,3,0,4,0,5,2,2,0,2,6,4,107,57,1,1,12,13,2,4,2,0,0,724,557,1,0,1,4,544,0,0,393,0,0,2,0,3,1,2,5,6,1,3,382,2,91,22,0,0,0,0,0,7,1,6,5,279500
14,0,3,660,1,0,3,0,0,0,12,2,2,0,2,5,4,61,10,3,1,8,8,3,4,1,373,0,334,435,1,4,1,4,421,0,0,255,1,0,1,1,2,1,3,3,6,1,1,76,2,0,162,69,0,0,0,0,4,2,8,4,157000
15,3,4,138,1,3,3,0,0,0,3,2,2,0,1,6,7,33,51,1,1,13,14,3,4,0,0,0,516,164,1,0,1,0,131,0,0,46,0,0,1,0,2,1,3,3,6,0,2,240,2,15,94,0,0,0,0,0,6,1,8,4,132000
16,0,3,698,1,0,3,0,1,0,12,2,2,0,2,5,6,71,20,1,1,13,14,3,4,1,281,0,271,279,1,0,1,4,242,0,0,111,1,0,1,0,2,1,3,3,6,1,2,166,2,0,0,0,0,0,0,10,2,4,8,4,149000
17,10,3,648,1,3,3,0,4,0,19,2,2,2,2,3,4,68,17,1,1,8,8,3,4,3,0,0,0,0,1,4,1,4,446,0,0,277,0,0,2,0,2,2,3,4,6,0,2,196,2,0,0,0,0,0,0,6,9,0,8,4,90000
18,0,3,896,1,3,3,0,4,0,20,5,2,0,2,4,4,105,54,1,1,12,13,3,4,2,323,0,303,351,1,0,1,4,321,0,0,169,1,0,1,1,3,1,2,4,6,0,2,240,2,0,86,0,0,0,0,0,5,2,8,4,159000
19,0,3,231,1,3,3,0,4,0,12,2,2,0,2,4,5,59,15,3,1,3,10,3,4,1,231,0,337,295,1,4,1,4,471,0,0,300,0,0,1,0,3,1,3,4,2,0,1,46,2,0,0,0,0,0,0,0,4,3,0,0,139000
20,5,3,921,1,0,3,0,0,0,16,2,2,0,5,7,4,106,56,1,1,12,13,2,4,2,0,0,646,380,1,0,1,4,356,372,0,776,0,0,3,1,4,1,2,7,6,1,3,390,2,154,128,0,0,0,0,0,10,0,6,5,325300
21,3,4,225,1,3,0,0,4,0,9,2,2,0,1,6,6,34,0,1,1,13,14,3,4,2,0,0,400,55,1,0,1,1,317,0,0,163,0,0,1,0,3,1,2,4,6,1,1,36,0,0,0,83,0,0,0,0,5,1,8,4,139400
22,0,3,507,1,3,3,0,4,0,5,2,2,0,2,7,4,103,52,3,1,12,13,2,4,2,0,0,764,658,1,0,1,4,677,0,0,575,0,0,2,0,3,1,2,5,6,1,2,211,2,100,132,0,0,0,0,0,8,2,8,4,230000
23,11,4,70,1,3,3,0,4,0,10,2,2,4,2,4,6,77,26,1,1,5,5,3,4,2,429,0,112,300,1,4,1,4,280,0,0,136,1,0,1,0,3,1,3,4,6,1,2,236,2,46,92,0,0,0,0,0,5,1,8,4,129900
24,0,3,306,1,0,3,0,4,0,19,2,2,0,2,4,7,69,51,1,1,9,10,3,2,1,51,116,115,314,1,0,1,4,280,0,0,136,1,0,1,0,3,1,2,4,6,1,1,31,2,239,75,0,0,0,0,0,4,4,8,4,154000
25,0,3,923,1,3,3,0,0,0,16,2,2,0,2,7,4,108,57,1,1,12,13,2,4,2,0,0,735,585,1,0,1,4,599,0,0,459,0,0,2,0,3,1,2,5,6,1,3,409,2,0,44,0,0,0,0,0,6,3,8,4,256300
26,0,3,202,1,3,3,0,0,0,12,2,2,0,2,4,6,52,50,1,1,13,14,3,4,1,76,90,98,203,1,4,1,4,162,0,0,63,0,1,1,0,3,1,2,3,6,0,2,240,2,141,21,0,0,0,0,0,4,4,8,4,134800
27,0,3,730,1,3,3,0,4,0,16,2,2,0,2,7,4,108,58,1,1,12,13,2,4,2,557,0,315,639,1,0,1,4,650,0,0,527,1,0,2,0,3,1,2,5,6,1,3,350,2,0,38,0,0,0,0,0,4,4,8,4,306000
28,0,3,980,1,0,3,0,1,0,12,2,2,0,2,4,5,58,47,1,1,8,8,3,4,1,573,0,116,551,1,4,1,4,599,0,0,459,1,0,1,0,2,1,3,4,6,2,1,61,2,180,179,0,0,0,0,0,11,0,8,4,207500
29,1,4,150,1,0,3,0,4,0,3,1,7,0,2,3,5,31,0,1,1,8,8,3,4,0,0,0,334,21,1,1,0,4,6,0,0,3,0,0,1,0,1,1,1,2,6,0,1,19,2,16,0,27,0,0,0,0,4,2,8,4,68500
30,6,0,337,1,3,3,0,4,0,9,1,2,0,5,3,3,24,0,2,1,3,3,3,1,0,0,0,406,59,1,4,0,4,26,128,0,289,0,0,1,0,3,1,3,4,6,0,1,23,0,0,42,67,0,0,0,0,6,2,8,4,40000
31,0,3,345,1,0,3,0,1,0,19,2,2,0,2,4,5,67,56,1,1,6,6,3,4,1,0,0,662,420,1,2,1,4,404,0,0,238,0,0,1,1,3,1,2,4,6,0,1,32,2,0,53,0,0,0,0,0,5,2,8,4,149350
32,0,3,673,1,3,3,0,0,0,5,2,2,0,2,7,4,108,57,1,1,12,13,2,4,2,0,0,664,422,1,0,1,4,407,0,0,242,0,0,2,0,3,1,2,5,6,0,2,170,2,0,20,0,0,0,0,0,0,2,8,4,179900
33,0,3,613,1,0,3,0,4,0,12,2,2,0,2,4,4,60,9,3,1,3,3,3,4,1,503,0,237,512,1,2,1,4,647,0,0,524,0,1,1,1,4,1,2,4,6,1,2,138,2,0,26,0,0,0,0,0,3,4,8,4,165500
34,11,3,211,1,3,3,0,4,0,16,2,2,4,2,8,4,106,55,3,1,8,8,0,4,2,538,0,256,582,1,0,1,4,581,0,0,437,1,0,2,0,2,1,0,4,6,1,2,226,2,128,35,0,0,0,0,0,7,1,8,4,277500
35,5,3,875,1,3,3,0,4,0,16,2,2,0,5,7,4,105,55,1,1,12,13,2,4,2,0,0,633,353,1,0,1,4,335,389,0,788,0,0,3,1,4,1,2,7,6,1,3,313,2,54,21,0,0,0,0,0,8,0,8,4,309000
36,0,3,655,1,3,3,0,0,0,5,2,2,0,2,4,4,95,45,1,1,12,13,3,4,2,0,0,627,338,1,0,1,4,309,0,0,157,0,0,1,1,3,1,3,4,6,0,2,300,2,233,52,0,0,0,0,0,5,3,8,4,145000
37,0,3,343,1,3,3,0,4,0,12,2,2,0,2,4,5,55,40,3,1,13,14,3,4,1,555,0,29,461,1,2,1,4,447,0,0,278,0,1,1,0,3,1,3,3,6,1,2,180,2,0,0,0,0,0,0,0,9,3,8,4,153000
38,0,3,269,1,3,3,0,4,0,12,2,2,0,2,4,6,54,57,1,1,12,13,3,2,1,371,0,202,311,1,4,1,4,278,0,0,135,1,0,1,0,3,1,2,3,6,0,1,21,2,0,40,0,0,0,0,0,0,4,8,0,109000
39,10,3,136,1,3,3,0,4,0,7,2,2,2,2,3,4,56,5,1,1,0,10,3,4,2,0,0,0,0,1,4,0,2,351,0,0,197,0,0,2,0,2,2,1,4,6,0,0,0,0,0,0,0,0,0,0,0,5,2,8,1,82000
40,0,3,354,1,3,3,0,4,0,12,2,2,0,2,5,4,66,15,1,1,13,14,3,4,1,320,0,285,332,1,0,1,4,462,0,0,293,0,0,2,0,3,1,3,4,6,1,2,133,2,0,118,0,0,0,0,0,11,0,8,0,160000
41,0,3,993,1,3,3,0,4,0,23,2,2,0,2,4,5,60,9,1,1,12,13,3,2,1,477,0,239,486,1,2,1,4,465,0,0,295,0,1,1,1,2,1,3,3,6,2,1,56,1,0,88,0,0,0,0,0,6,1,8,4,170000
42,9,3,435,1,0,3,0,1,0,20,2,2,0,6,4,6,84,33,1,1,6,6,3,4,1,382,10,0,168,1,2,1,4,150,0,0,57,1,0,1,0,2,1,2,3,6,0,2,185,2,154,0,0,0,0,0,0,11,1,8,4,144000
43,0,3,438,1,0,3,0,1,0,5,2,2,0,2,4,5,76,30,3,1,12,13,3,4,1,96,91,85,226,1,4,1,4,190,0,0,81,1,0,1,0,3,1,3,3,6,0,1,56,2,79,0,0,0,0,0,0,6,2,8,4,130250
44,0,3,274,1,3,3,0,4,0,12,2,2,0,2,4,5,60,9,1,1,3,14,3,4,1,46,96,300,373,1,0,1,0,350,0,0,196,1,0,1,0,3,1,3,4,6,0,1,50,2,0,0,0,0,0,0,0,4,0,8,4,141000
45,11,3,240,1,3,3,0,4,0,16,2,2,4,2,8,4,106,55,3,1,8,8,0,4,2,207,0,680,653,1,0,1,4,668,0,0,556,1,0,2,0,2,1,0,4,6,1,2,240,2,121,68,0,0,0,0,0,1,4,8,4,319900
46,4,3,845,1,0,3,0,1,0,11,2,2,0,0,6,4,104,53,1,1,12,13,2,4,2,591,0,28,528,1,0,1,4,557,112,0,721,1,0,1,1,1,1,2,4,6,1,2,298,2,97,31,0,0,45,0,0,7,3,8,0,239686
47,0,1,678,1,3,3,0,4,0,21,2,2,0,2,7,4,107,56,1,1,12,13,2,4,2,4,0,747,624,1,0,1,4,625,0,0,493,0,0,2,0,3,1,2,5,6,0,3,374,2,0,123,0,0,0,0,0,6,1,8,4,249700
48,14,4,83,1,3,3,0,4,0,17,2,2,1,5,3,4,24,58,1,1,8,8,3,4,0,0,0,459,107,1,2,1,4,59,158,0,366,0,0,2,0,2,3,3,6,6,0,0,0,0,0,0,35,0,0,0,0,5,3,6,5,113000
49,0,3,248,1,3,3,0,4,0,19,2,2,0,2,4,6,67,16,1,1,6,6,3,4,1,389,0,106,240,1,0,1,4,202,0,0,89,1,0,1,0,3,1,3,4,6,0,1,92,2,0,0,0,0,0,0,0,0,1,8,4,127000
50,5,3,906,1,1,3,0,0,0,8,2,2,0,5,5,5,98,47,1,1,12,13,3,4,2,48,0,388,138,1,2,1,4,92,131,0,375,0,1,2,0,3,1,3,4,6,0,2,93,2,0,62,0,0,0,0,0,6,1,8,4,177000
51,4,4,145,1,3,3,0,4,0,3,2,2,0,0,5,5,37,0,1,1,13,14,3,4,2,0,0,512,155,1,4,1,4,109,0,9,208,0,0,1,0,3,1,3,4,6,1,2,205,2,53,0,0,0,0,0,3,8,0,8,4,114500
52,10,4,332,0,1,0,0,0,1,9,8,2,2,2,4,4,64,13,1,1,13,14,1,4,1,25,121,0,155,1,4,0,4,109,0,0,35,1,0,1,0,2,1,3,3,6,0,2,196,2,50,0,0,0,0,0,0,4,4,8,4,110000
53,0,3,1061,1,0,2,0,4,0,24,2,2,0,2,8,4,82,37,1,7,14,15,2,4,1,630,0,7,668,1,2,1,4,689,0,0,595,2,0,0,1,0,1,2,3,6,1,3,410,2,273,59,0,0,0,0,0,10,0,8,4,385000
54,8,3,195,1,3,0,0,4,1,12,2,2,0,7,4,4,56,5,1,1,8,8,3,4,1,160,0,0,9,1,4,1,4,480,0,0,314,0,0,1,0,3,1,3,4,2,1,2,236,2,0,38,0,0,0,0,0,1,1,8,4,130000
55,0,3,563,1,0,3,0,4,0,12,2,2,0,2,5,4,65,14,1,1,6,10,3,4,1,224,0,563,524,1,2,1,4,509,0,0,351,0,0,2,0,3,1,3,5,6,1,2,240,2,0,0,0,18,0,0,0,6,2,8,4,180500
56,12,1,31,1,3,3,0,4,0,21,2,2,3,5,7,4,100,50,1,1,8,8,2,4,2,325,0,198,252,1,0,1,4,225,180,0,549,1,0,2,1,3,1,2,5,6,0,2,166,2,56,0,0,0,0,0,0,7,3,8,0,172500
57,5,3,742,1,0,3,0,0,0,5,2,2,0,5,6,4,105,54,1,1,12,13,2,4,2,0,0,527,182,1,0,1,4,136,236,0,539,0,0,2,1,3,1,2,5,6,0,2,231,2,0,58,0,0,0,0,0,7,0,8,4,196500
58,5,3,893,1,1,1,0,1,0,22,2,2,0,5,9,4,107,56,3,1,12,13,0,4,2,0,0,707,516,1,0,1,4,510,407,0,841,0,0,3,1,3,1,2,8,6,1,3,283,2,118,0,8,0,0,0,0,9,0,6,5,438780
59,0,3,202,1,3,0,0,4,0,5,2,2,0,2,4,6,73,22,1,1,6,6,3,4,1,314,0,71,130,1,0,1,4,83,0,0,24,0,0,1,0,2,1,3,2,6,0,1,76,2,121,0,0,0,0,0,0,0,2,8,4,124900
60,0,3,859,1,3,3,0,4,0,20,5,2,0,2,5,4,105,54,1,1,12,13,3,4,2,470,0,121,380,1,0,1,4,356,0,0,200,1,0,1,1,3,1,2,3,6,0,2,240,2,0,38,0,0,0,0,0,4,0,6,5,158000
61,7,4,202,1,3,3,0,4,0,9,2,2,0,4,4,6,24,46,1,1,8,8,3,4,0,0,0,340,24,1,4,0,4,16,64,0,166,0,0,1,0,3,1,1,4,6,0,1,43,0,0,0,54,0,0,0,0,2,1,8,4,101000
62,11,3,157,1,0,3,0,4,0,16,2,2,4,2,7,4,107,56,1,1,12,13,2,4,2,4,0,689,496,1,0,1,4,486,0,0,322,0,0,2,0,2,1,2,4,6,1,2,170,2,59,37,0,0,0,0,0,9,1,8,4,202500
63,6,4,582,1,0,0,0,4,0,17,6,1,0,5,6,5,25,0,1,1,11,12,3,4,0,0,0,369,38,1,2,1,4,164,209,0,531,0,0,2,0,3,1,3,7,6,0,2,166,2,1,4,19,0,0,0,0,3,4,8,4,140000
64,5,3,464,1,3,3,0,4,0,5,2,2,0,5,6,4,98,48,1,1,12,13,3,4,2,378,0,195,311,1,0,1,4,278,293,0,683,1,0,2,1,3,1,2,6,6,0,2,286,2,266,25,0,0,0,0,0,1,3,8,4,219500
65,5,3,497,1,3,3,0,4,0,16,2,2,0,5,7,4,105,55,1,1,12,13,2,4,2,0,0,643,368,1,0,1,4,344,391,0,792,0,0,2,1,4,1,2,7,6,1,3,389,2,118,126,0,0,0,0,0,9,1,8,4,317000
66,0,3,1019,1,3,3,0,4,0,12,3,2,0,2,6,4,71,39,1,1,9,10,3,4,1,459,0,604,685,1,4,1,4,735,0,0,737,1,0,2,0,3,1,3,5,2,1,2,240,2,189,0,0,0,0,0,0,6,4,8,4,180000
67,0,3,633,1,0,3,0,4,0,5,2,2,0,2,6,4,104,53,1,1,12,13,2,4,2,500,0,281,535,1,0,1,4,537,0,0,384,1,0,2,0,3,1,2,5,6,0,2,227,2,78,19,0,0,0,0,0,5,1,8,4,226000
68,1,4,87,1,3,3,0,0,0,17,0,2,0,2,3,5,46,0,1,1,8,8,3,2,1,0,0,466,114,1,4,1,4,63,0,0,15,0,0,1,0,2,1,3,2,6,0,1,14,2,0,0,0,0,0,0,0,5,4,8,4,80000
69,4,3,962,1,3,3,0,0,0,4,2,2,0,0,6,3,54,3,1,1,3,0,2,4,1,294,0,434,466,2,4,1,4,452,298,0,757,0,0,2,0,3,1,3,5,6,1,2,296,2,0,11,39,0,0,0,0,6,0,8,4,225000
70,0,3,890,1,0,3,0,4,0,12,2,2,0,2,6,5,74,23,1,1,9,10,3,2,1,631,0,212,709,1,0,1,4,737,0,0,740,1,0,2,0,3,1,3,6,6,2,2,196,2,188,0,0,0,0,0,0,1,1,8,4,244000
71,0,3,237,1,3,3,0,0,0,11,2,2,0,2,3,5,83,56,1,1,6,10,3,4,1,272,0,165,171,1,4,1,4,125,0,0,44,1,0,1,0,2,1,3,2,6,0,2,79,2,0,0,0,0,0,0,0,5,1,8,4,129500
72,5,3,557,1,0,3,0,0,0,8,2,2,0,5,6,4,99,48,1,1,12,13,3,4,2,0,0,516,164,1,2,1,4,151,221,0,537,0,0,2,1,3,1,3,5,6,1,2,121,2,0,79,0,0,67,0,0,11,3,8,4,185000
73,0,3,568,1,3,3,0,4,0,12,2,2,0,2,4,6,55,53,1,1,13,14,3,4,1,120,70,253,331,1,2,1,4,300,0,0,150,1,0,1,0,3,1,3,4,6,0,2,173,2,0,0,0,0,0,0,0,4,4,8,4,144900
74,4,4,127,1,3,3,0,0,0,17,2,2,0,5,2,5,19,0,2,1,12,13,2,2,1,0,0,519,168,1,2,0,4,122,184,0,464,0,0,2,0,3,2,3,6,6,0,1,89,2,0,0,82,0,0,0,0,4,4,8,4,107400
75,13,4,5,1,3,3,0,4,0,10,2,2,3,7,3,4,74,23,1,1,5,5,3,4,1,211,0,0,14,1,4,1,4,8,42,0,105,1,0,1,0,2,1,3,3,6,0,1,48,2,59,85,0,0,0,0,0,10,3,8,4,91000
76,0,3,333,1,0,3,0,4,0,12,2,2,0,2,3,6,57,6,1,1,12,13,3,4,1,74,0,449,237,1,0,1,0,199,0,0,87,0,0,1,0,2,1,3,2,6,0,1,39,2,0,0,0,0,0,0,0,3,2,8,4,135750
77,4,4,352,1,3,3,0,4,0,3,2,2,0,0,4,4,49,51,1,1,13,14,3,4,1,130,5,177,70,1,4,1,4,290,5,0,272,1,0,1,0,2,1,3,4,2,0,1,19,2,0,0,0,0,0,0,0,0,2,8,4,127000
78,10,3,645,1,3,3,0,4,0,19,2,2,2,2,3,4,69,18,3,1,6,6,3,4,1,0,0,762,657,1,4,0,4,670,0,0,563,0,0,2,0,4,2,3,6,6,0,0,0,2,0,0,0,0,0,0,0,3,4,8,4,136500
79,4,4,602,1,3,3,0,0,0,17,2,2,0,5,4,5,14,31,1,1,13,14,3,4,2,0,0,281,12,1,2,1,4,37,72,0,240,0,0,1,1,2,1,3,3,6,0,2,133,2,30,0,45,0,0,0,0,4,3,8,4,110000
80,5,3,854,1,3,3,0,0,0,12,2,2,0,5,5,5,69,18,1,1,12,13,3,2,1,204,0,287,202,1,4,1,4,373,289,0,719,0,0,2,1,4,1,2,6,6,1,1,189,2,0,59,0,0,56,0,0,5,3,8,4,193500
81,11,4,84,1,3,3,0,2,0,11,2,2,4,2,5,4,99,48,3,1,12,13,3,2,2,554,0,9,424,1,0,1,4,469,0,0,298,1,0,2,0,2,1,3,3,6,0,2,105,2,0,154,0,0,0,0,0,2,0,8,4,153500
82,0,3,570,1,3,3,0,4,0,21,2,2,0,2,7,4,108,57,1,1,12,13,3,4,2,8,0,731,583,1,0,1,4,582,0,0,438,0,0,2,0,3,1,2,4,6,1,3,345,2,78,83,0,0,0,0,0,9,2,8,4,245000
83,0,3,391,1,0,3,0,4,0,12,2,2,0,2,4,4,61,10,1,1,8,8,3,4,1,0,0,614,318,1,2,1,4,285,0,0,139,0,0,1,1,3,1,3,4,6,0,2,150,2,30,0,0,0,0,0,0,6,1,0,4,126500
84,8,3,342,1,0,3,0,4,0,8,2,2,0,7,6,4,96,46,1,1,6,6,3,4,2,0,0,240,9,1,2,1,4,99,129,0,379,0,0,2,1,3,1,3,5,6,1,2,101,2,59,59,0,0,0,0,10,4,3,8,4,168500
85,5,3,973,1,3,3,0,0,0,15,2,2,0,5,7,4,92,42,3,1,6,6,2,4,1,0,0,677,457,1,0,1,4,450,343,0,783,0,0,2,1,4,1,2,7,6,1,2,151,2,66,68,0,0,0,0,0,3,0,8,4,260000
86,5,3,766,1,1,3,0,4,0,8,2,2,0,5,5,4,106,55,1,1,12,13,2,4,2,0,0,424,75,1,0,1,4,38,247,0,436,0,0,2,1,3,1,2,4,6,1,2,101,2,46,26,0,0,0,0,0,2,3,8,4,174000
87,12,1,60,1,3,3,0,0,0,21,2,2,4,5,5,4,110,59,1,1,12,13,2,4,2,0,0,388,46,1,0,1,4,20,104,0,235,0,0,2,1,2,1,2,2,6,0,2,205,2,0,168,0,0,0,0,0,5,3,6,5,164500
88,4,0,330,1,0,3,0,0,0,9,1,1,0,0,2,1,19,32,3,1,9,10,1,1,1,0,0,598,286,1,4,0,4,249,0,19,416,0,0,1,0,2,1,1,4,6,0,0,0,0,0,0,59,0,0,0,0,9,3,3,0,85000
89,0,3,285,1,3,3,0,4,0,5,2,2,0,2,3,4,95,45,1,1,12,13,3,4,2,286,0,251,268,1,0,1,4,231,0,0,106,1,0,1,0,3,1,3,3,6,0,0,0,2,0,0,0,0,0,0,0,7,1,8,4,123600
90,0,3,202,1,3,3,0,4,0,12,2,2,0,2,3,4,51,0,1,1,3,14,3,4,3,0,0,0,0,1,4,1,0,265,0,0,125,0,0,1,0,2,1,3,2,6,0,2,115,2,0,19,0,0,0,0,0,6,0,8,4,109900
91,0,3,337,1,3,3,0,4,0,12,2,2,0,2,4,2,62,11,3,1,6,6,3,4,1,292,0,398,423,1,4,1,4,408,0,0,243,0,0,1,0,2,1,3,4,6,0,2,166,2,0,0,0,0,0,0,0,11,0,8,0,98600
92,1,3,873,1,0,1,0,4,0,6,2,2,0,2,4,6,25,56,1,1,13,14,3,2,0,364,0,82,192,1,0,1,4,210,0,0,92,1,0,1,0,2,1,3,3,6,0,2,125,2,0,0,12,0,0,0,0,7,3,8,4,163500
93,14,0,202,1,3,3,0,0,0,17,2,2,1,4,5,5,14,48,3,1,8,8,3,4,0,510,0,86,409,2,0,0,4,424,312,0,759,0,1,2,0,4,2,3,7,6,1,2,187,2,0,0,0,0,8,0,0,10,1,8,4,133900
94,5,3,458,1,0,3,0,4,0,5,2,2,0,5,5,4,98,47,1,1,12,13,3,2,2,324,0,94,160,1,0,1,4,166,250,0,570,1,0,2,1,3,1,2,5,6,0,2,308,2,0,134,0,0,0,0,0,4,1,8,4,204750
95,5,3,512,1,1,3,0,0,0,8,2,2,0,5,5,7,94,43,1,1,12,13,0,2,2,114,0,230,73,1,2,1,4,36,199,0,375,0,0,2,1,3,1,3,4,6,1,2,115,2,146,51,0,0,0,0,5,3,3,8,4,185000
96,0,3,579,1,0,3,0,4,0,5,2,2,0,2,6,4,100,49,1,1,12,13,2,4,2,543,0,271,597,1,0,1,4,597,0,0,455,0,0,2,0,3,1,2,4,6,0,2,158,2,89,19,0,0,0,0,0,7,0,8,4,214000
97,0,3,661,1,3,1,0,4,0,7,2,2,0,2,3,4,66,15,3,1,6,6,3,4,1,242,0,281,244,1,4,1,1,206,0,0,91,1,0,1,0,3,1,3,4,6,0,1,125,1,59,0,0,0,0,0,0,4,1,8,4,94750
98,1,3,623,1,3,3,0,0,0,7,2,2,0,2,4,4,24,0,1,1,13,14,3,4,0,26,0,216,13,1,1,0,4,120,0,0,40,0,0,1,0,2,1,3,3,6,0,1,81,2,0,0,23,0,0,0,3,4,4,0,0,83000
99,0,3,457,1,0,3,0,4,0,12,2,2,0,2,3,4,60,9,1,1,9,10,3,4,1,276,0,238,235,1,1,1,4,402,0,0,236,1,0,1,1,3,1,3,4,6,0,0,0,2,216,0,0,0,0,0,3,0,4,8,4,128950
100,0,3,620,1,0,3,0,4,0,14,2,2,0,2,5,6,78,51,1,1,9,10,3,4,2,553,0,258,606,1,2,1,4,603,0,0,466,1,0,2,0,3,1,2,4,6,2,2,166,2,97,56,0,0,0,0,0,1,4,8,4,205000
101,5,3,440,1,3,3,0,4,0,20,2,2,0,5,5,4,86,35,1,1,6,6,2,4,1,0,0,462,110,1,4,1,4,221,179,0,545,0,0,2,1,3,1,2,5,6,1,2,162,2,118,34,0,0,0,0,0,5,4,8,4,178000
102,10,3,183,1,3,0,0,4,0,20,2,2,2,2,4,4,80,29,1,1,6,6,3,1,3,0,0,0,0,1,4,1,4,566,0,0,420,0,0,2,0,4,2,3,6,6,0,2,109,2,0,0,0,0,0,0,0,5,3,8,2,118964
